,Preço Atual,Preço Original,Nome do Produto,Marca,Revendedor,Link
1,"R$ 26,34","R$ 30,99",Creme de Pentear Salon Line Definição intensa,Salon Line,Amazon,https://www.amazon.com.br/Creme-para-Pentear-Defini%C3%A7%C3%A3o-Intensa/dp/B06XY64LN3/ref=asc_df_B06XY64LN3/?hvadid=379720604808&hvpos=&hvnetw=g&hvrand=4198866721376953218&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=20089&hvtargid=pla-847518783357&psc=1&mcid=aa990eb25898303082e8a3a2f756b1e7
2,"R$ 36,99","R$ 36,99",Creme de Pentear Salon Line Definição intensa,Salon Line,Amazon / Farmácia Indiana,https://www.amazon.com.br/gp/product/B06XY64LN3/ref=ewc_pr_img_1?smid=A2IBN0SYKX7RS8&psc=1
3,"R$ 39,34","R$ 39,34",Creme de Pentear Salon Line Definição intensa,Salon Line,Amazon / Apoteca Drugstore,https://www.amazon.com.br/gp/product/B06XY64LN3/ref=ewc_pr_img_1?smid=A2SYDR897ONMRJ&psc=1
4,"R$ 54,79","R$ 54,79",Creme de Pentear Salon Line Definição intensa,Salon Line,Amazon / Doce Presença,https://www.amazon.com.br/gp/product/B06XY64LN3/ref=ewc_pr_img_2?smid=AO14R2ZFDRHPB&psc=1
5,"R$ 42,98","R$ 42,98",Creme de Pentear Salon Line Definição intensa,Salon Line,Amazon / VOBELLA,https://www.amazon.com.br/gp/product/B06XY64LN3/ref=ewc_pr_img_3?smid=A3PXEXJNOJKQCN&psc=1
6,"R$ 42,30","R$ 42,30",Creme de Pentear Salon Line Definição intensa,Salon Line,Amazon / Web Glamour Oficial,https://www.amazon.com.br/gp/product/B06XY64LN3/ref=ewc_pr_img_1?smid=A13ESDXL9VO6EU&psc=1
7,"R$ 34,00","R$ 34,00",Creme de Pentear Salon Line Definição intensa,Salon Line,Amazon / Santavenida,https://www.amazon.com.br/gp/product/B06XY64LN3/ref=ewc_pr_img_5?smid=A69VOXGNPLSZN&psc=1
8,"R$ 37,01","R$ 37,01",Creme de Pentear Salon Line Definição intensa,Salon Line,Amazon / Acesso Domesticos,https://www.amazon.com.br/gp/product/B06XY64LN3/ref=ewc_pr_img_2?smid=A3V4D7C7SLC65O&psc=1
9,"R$ 37,01","R$ 37,01",Creme de Pentear Salon Line Definição intensa,Salon Line,Amazon / Stillus Shop,https://www.amazon.com.br/gp/product/B06XY64LN3/ref=ewc_pr_img_1?smid=AWFZ3BJTGWWLD&psc=1
10,"R$ 59,39","R$ 59,39",Creme de Pentear Salon Line Definição intensa,Salon Line,Amazon / Duda Makeup,https://www.amazon.com.br/gp/product/B06XY64LN3/ref=ewc_pr_img_2?smid=A2M1PKBRT3KTMK&psc=1
11,"R$ 44,90","R$ 44,90",Creme de Pentear Salon Line Definição intensa,Salon Line,Amazon / Agora Beauty,https://www.amazon.com.br/gp/product/B06XY64LN3/ref=ewc_pr_img_2?smid=A1SLU3B7O0B17T&psc=1
12,"R$ 42,00","R$ 42,00",Creme de Pentear Salon Line Definição intensa,Salon Line,Amazon / Brilho do Ouro,https://www.amazon.com.br/gp/product/B06XY64LN3/ref=ewc_pr_img_2?smid=A28P6OTPDT8XVP&psc=1
13,"R$ 44,50","R$ 44,50",Creme de Pentear Salon Line Definição intensa,Salon Line,Amazon / Belface + Perfumaria,https://www.amazon.com.br/gp/product/B06XY64LN3/ref=ewc_pr_img_2?smid=A166I798OVG6C&psc=1
